2020-02-22T09:44:29Z,11597,70,41
2020-02-03T11:55:37Z,17798,86,92
2019-11-07T05:20:24Z,16110,16,46
2019-02-03T12:32:47Z,1566,83,49
2019-11-14T04:11:00Z,13750,52,48
2019-07-08T22:38:12Z,19615,5,40
2019-02-04T08:46:49Z,7331,92,56
2019-07-12T19:22:16Z,13169,98,45
2019-08-26T16:59:06Z,11021,64,14
2019-08-28T14:39:06Z,6418,46,86
2019-08-09T10:52:32Z,2945,14,26
2019-03-04T16:27:11Z,6452,65,12
2019-03-24T19:02:17Z,7521,21,86
2019-03-01T01:10:09Z,9315,41,67
2019-02-07T17:04:54Z,15871,51,5
2019-12-03T10:46:57Z,19813,40,64
2020-01-12T04:42:09Z,6428,97,30
2019-08-02T18:03:01Z,9605,99,34
2019-03-05T10:03:30Z,19449,43,71
2020-01-08T04:25:48Z,4471,75,29
2020-01-30T15:01:48Z,1094,93,92
2019-06-15T20:13:12Z,3844,1,51
2020-01-29T07:53:36Z,8522,44,70
2019-02-02T20:17:30Z,1141,75,58
2019-10-06T22:42:35Z,17442,76,88
2019-05-15T20:32:43Z,3687,7,61
2019-08-18T13:40:27Z,18156,26,58
2019-10-05T12:58:16Z,5249,32,6
2019-08-07T12:55:08Z,8859,31,23
2020-01-09T00:26:41Z,2316,63,28
2019-06-19T04:29:31Z,10394,71,92
2019-05-26T00:18:22Z,10692,39,53
2019-04-08T21:56:15Z,16604,2,53
2019-02-11T19:58:28Z,8409,33,74
2020-02-01T05:17:00Z,10389,43,68
2019-07-05T13:29:03Z,3207,59,87
2019-04-07T23:49:55Z,9352,39,95
2019-04-29T04:08:20Z,11797,38,29
2019-08-11T16:12:17Z,16506,35,65
2019-08-03T13:54:50Z,4765,13,65
2019-09-14T10:06:32Z,6051,40,54
2019-12-06T16:18:44Z,13732,55,74
2020-02-02T17:03:57Z,15709,86,67
2019-08-06T13:00:11Z,16114,69,64
2019-08-03T04:53:41Z,11261,79,45
2019-05-23T05:41:31Z,9488,20,47
2019-12-18T09:20:43Z,2169,73,43
2020-02-07T23:15:44Z,16693,26,15
2019-12-27T20:11:23Z,14012,94,23
2019-12-17T21:26:55Z,9790,79,35
2019-04-24T02:00:46Z,1971,17,71
2020-01-27T10:06:19Z,17748,30,50
2019-09-04T23:09:15Z,12410,92,12
2019-10-26T07:13:20Z,1469,37,35
2019-02-21T00:04:16Z,7133,100,42
2019-12-19T22:24:33Z,6396,22,20
2019-10-31T09:17:03Z,19830,14,15
2019-02-03T08:17:48Z,10599,11,38
2020-02-15T03:49:02Z,14269,89,73
2019-04-09T00:46:14Z,18290,52,45
2019-09-14T23:50:41Z,17747,4,92
2019-05-16T20:00:43Z,6008,74,30
2019-03-12T17:25:23Z,9563,37,68
2019-09-10T08:13:30Z,13045,60,89
2019-09-14T19:12:52Z,15210,79,91
2019-02-01T05:16:23Z,16052,59,18
2019-06-30T17:01:42Z,16792,1,46
2019-08-07T17:02:40Z,17164,40,45
2019-10-01T03:34:39Z,1861,38,58
2019-05-03T00:46:18Z,19518,16,80
2019-03-29T01:07:13Z,18827,9,77
2020-01-22T22:03:54Z,10134,19,20
2019-11-01T15:52:09Z,5318,94,70
2020-02-23T12:01:33Z,6303,73,7
2020-01-25T01:26:41Z,11033,5,2
2019-06-05T03:57:37Z,11957,9,79
2019-06-12T21:08:45Z,7711,27,34
2019-04-01T19:01:06Z,1542,61,92
2019-11-12T19:38:43Z,2775,43,60
2019-07-18T16:10:00Z,5015,9,10
2019-07-06T12:36:41Z,15376,14,56
2019-11-02T13:43:56Z,19627,55,74
2019-11-21T02:42:18Z,9238,81,23
2019-08-09T11:14:59Z,10637,72,48
2019-08-21T15:09:42Z,2781,62,61
2019-02-24T11:45:20Z,3545,4,8
2019-04-17T23:05:29Z,9890,11,78
2019-07-20T14:58:21Z,18567,72,42
2019-05-03T07:44:22Z,16476,97,17
2019-04-06T10:11:24Z,11100,85,73
2019-06-01T16:38:57Z,4737,95,96
2020-02-21T17:52:38Z,15233,69,83
2019-07-21T11:55:31Z,18073,37,69
2019-10-09T12:15:15Z,11128,92,40
2019-06-13T07:49:03Z,8728,17,25
2019-08-12T07:58:44Z,1697,15,62
2019-12-25T23:25:19Z,2684,7,21
2019-04-16T16:01:07Z,1498,3,59
2020-02-07T12:51:23Z,6410,52,77
2019-12-10T09:38:15Z,3494,2,24
2019-11-26T11:08:05Z,7764,13,96
2019-11-01T08:14:24Z,8933,70,20
2019-12-21T03:31:55Z,12621,50,5
2019-12-10T21:25:38Z,3949,26,67
2019-07-08T01:28:23Z,19373,89,4
2019-10-29T13:32:30Z,8447,76,56
2019-03-20T18:01:49Z,3325,5,54
2019-11-06T17:48:38Z,18264,75,100
2019-10-20T23:04:08Z,13677,4,25
2020-02-03T11:46:37Z,5064,51,41
2019-02-27T23:21:04Z,5833,88,24
2019-03-19T16:29:35Z,5583,53,64
2019-04-03T21:47:41Z,6534,64,29
2019-10-27T03:30:14Z,9625,80,36
2019-07-12T20:46:49Z,8247,8,55
2019-07-12T13:27:47Z,10315,12,91
2019-03-10T18:22:45Z,12946,55,46
2019-10-10T16:31:41Z,11774,46,96
2019-09-17T01:02:23Z,1351,15,51
2019-09-17T04:43:13Z,14909,100,16
2019-06-30T22:12:17Z,17915,54,27
2020-02-06T06:39:22Z,16926,17,49
2019-10-04T04:25:59Z,8698,85,62
2019-09-05T15:49:48Z,2942,7,44
2019-02-18T06:05:36Z,17074,59,31
2019-10-23T01:04:54Z,14129,47,92
2019-10-26T20:48:38Z,15993,47,2
2019-11-04T23:37:07Z,19269,17,55
2020-01-11T18:58:36Z,5336,1,87
2019-12-04T20:41:36Z,16595,20,62
2019-09-13T18:45:16Z,19947,39,69
2019-07-06T15:35:14Z,10138,43,45
2019-03-07T16:42:04Z,5396,16,85
2019-08-28T10:11:15Z,2810,71,45
2019-04-04T14:29:32Z,12640,93,2
2020-02-14T06:17:50Z,16233,86,31
2019-09-20T02:38:24Z,11027,23,13
2019-11-16T23:33:16Z,8941,31,67
2019-03-12T07:43:18Z,1565,98,82
2019-09-08T16:13:57Z,17281,93,89
2019-02-23T13:17:53Z,7499,60,82
2019-09-16T07:52:32Z,5305,76,8
2019-10-30T17:43:20Z,15598,53,98
2019-05-19T17:19:51Z,8309,78,56
2020-01-09T16:05:58Z,2555,17,66
2020-01-25T16:05:19Z,3024,21,55
2020-02-04T02:39:17Z,17662,19,29
2019-04-25T06:40:54Z,13742,49,93
2019-11-29T17:29:40Z,11918,71,63
2020-02-19T06:39:08Z,11184,97,26
2019-12-26T11:00:57Z,16304,42,84
2019-07-26T06:30:58Z,10895,13,32
2019-07-01T11:03:24Z,3925,84,91
2019-12-17T06:18:48Z,18686,24,53
2019-05-13T19:47:35Z,9918,99,81
2020-01-02T21:07:34Z,10491,27,61
2019-03-12T12:32:33Z,5949,14,30
2019-02-25T17:07:37Z,6919,45,3
2019-02-24T05:14:54Z,11871,40,5
2019-11-26T16:33:34Z,14820,87,21
2019-07-01T04:13:58Z,10234,5,80
2019-12-21T00:35:28Z,5134,81,92
2019-08-01T23:26:54Z,2046,26,41
2019-08-15T05:28:11Z,17090,89,84
2019-07-02T08:34:32Z,19103,19,33
2019-10-02T06:41:09Z,2991,28,40
2019-07-31T23:24:08Z,19365,32,86
2019-05-24T08:11:09Z,5879,30,88
2019-05-28T06:31:15Z,14208,39,16
2019-07-09T18:20:32Z,18383,23,96
2019-12-13T05:22:43Z,10248,5,24
2019-10-12T07:57:56Z,6402,5,86
2019-05-20T23:28:57Z,18766,40,27
2019-03-03T16:19:47Z,18012,33,50
2019-07-21T17:03:27Z,8317,5,41
2019-03-14T21:44:23Z,3836,12,54
2019-09-28T19:53:57Z,11837,52,17
2019-07-13T02:01:06Z,15993,95,7
2020-02-20T14:50:10Z,19641,65,64
2019-03-05T22:02:48Z,17986,100,24
